no,card_name,URL
46,Page of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476309/46_Page_of_Cups_ttq7zt.png
47,Knight of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476310/47_Knight_of_Cups_gboclo.png
48,Queen of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476309/48_Queen_of_Cups_tljicg.png
49,King of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476310/49_King_of_Cups_idlimu.png
50,Ace of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476310/50_Ace_of_Swords_bdqsrx.png
51,Two of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476311/51_Two_of_Swords_wdfwcs.png
52,Three of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476311/52_Three_of_Swords_nvcgfc.png
53,Four of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476311/53_Four_of_Swords_ivroe6.png
54,Five of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476312/54_Five_of_Swords_koz9bt.png
55,Six of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476312/55_Six_of_Swords_mdum3b.png
56,Seven of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476313/56_Seven_of_Swords_vv8coa.png
57,Eight of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476313/57_Eight_of_Swords_cra0dp.png
58,Nine of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476313/58_Nine_of_Swords_wdlil7.png
59,Ten of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476314/59_Ten_of_Swords_nyulxr.png
60,Page of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476314/60_Page_of_Swords_wysolw.png
61,Knight of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476314/61_Knight_of_Swords_efn0te.png
62,Queen of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476315/62_Queen_of_Swords_rrnnj3.png
